"species","scenario","label","gamma_true","epsilon_true","n","gamma_hat_median","gamma_hat_mean","gamma_hat_q25","gamma_hat_q75","gamma_bias_median","gamma_rel_bias_med","gamma_rmse","gamma_coverage","eps_hat_median","eps_bias_median","eps_rel_bias_med","eps_rmse","eps_coverage","p_hat_median","p_bias_median","ratio_hat_median","ratio_true","regime_accuracy","pct_trap","pct_asymmetric","pct_mild","pct_growth","pct_underest_10x","pct_underest_100x"
"otitar","A","Empirical",4.54840009386186e-05,0.222390981652645,200,9.14482523178631e-150,0.127052218772488,0,0.000378694672704725,-4.54840009386186e-05,-1,0.350749941454093,0.015,1,0.777609018347355,3.49658521478138,0.711358213045956,0.03,1.91676722186366e-56,-0.208393851119266,1e+20,4889.43314271682,0.76,76,5.5,2.5,16,69,69
"otitar","B","5x empirical",0.000227420004693093,0.222390981652645,200,0.000255651337114913,0.248332835573872,1.49132571437391e-148,0.172964856867966,2.82313324218202e-05,0.124137419045078,0.494789811808775,0.1,1,0.777609018347355,3.49658521478138,0.641122867626529,0.11,0.00036970162299098,-0.208024149496275,1406.44082914631,977.886628543364,0.6,60,4.5,4,31.5,44,44
"otitar","C","10x empirical",0.000454840009386186,0.222390981652645,200,0.000554200881365946,0.258580571614536,1.4151815527431e-26,0.999999999999864,9.93608719797595e-05,0.218452356717362,0.50542928110341,0.185,0.518163641817369,0.295772660164724,1.32996697063326,0.561152223606389,0.205,0.0566311444422776,-0.151762706676988,195.313895935985,488.943314271682,0.51,51,2,5.5,41.5,31,31
"otitar","D","eps/gam=10",0.0222390981652645,0.222390981652645,200,0.0218675179727602,0.0214217849207006,0.0188154250376409,0.0235071607476098,-0.000371580192504335,-0.0167084199972061,0.00329053426522422,0.69,0.205766704469193,-0.0166242771834516,-0.0747524789895359,0.109875297756574,0.705,0.204761809184424,-0.00363204193484183,9.2751212303295,10,0.425,0,36.5,42.5,21,0,0
"otitar","E","psi*=10%",0.0247101090725161,0.222390981652645,200,0.0246077390610548,0.0244395526759017,0.0229303359376691,0.0261624099431536,-0.000102370011461298,-0.00414283931976486,0.00253689684882484,0.94,0.223294015403369,0.000903033750724203,0.00406056821195502,0.0633240172388952,0.93,0.208394860371034,1.0092517679916e-06,8.99630753662202,9,0.68,0,28.5,68,3.5,0,0
"ptealc","A","Empirical",0.00137120428971557,0.489399033296083,200,0.000967727024192058,0.0314388820671712,1.98597798106221e-09,0.0017439908832291,-0.000403477265523516,-0.294250294102572,0.173113967040203,0.51,0.315344276212133,-0.174054757083951,-0.355649981389825,0.352994742323662,0.55,0.212321152233446,-0.0422092144382384,300.497048931545,356.91183069271,0.69,69,0.5,2,28.5,32,31
"ptealc","B","5x empirical",0.00685602144857787,0.489399033296083,200,0.00602131961569425,0.00594509512454233,0.00454245488910444,0.00734547878125579,-0.000834701832883617,-0.12174726102363,0.00241544795710393,0.58,0.386740102940785,-0.102658930355298,-0.209765290429558,0.336634588602773,0.52,0.214689704228828,-0.0398406624428562,59.0033116589535,71.3823661385421,0.52,5.5,52,0,42.5,4,4
"ptealc","C","10x empirical",0.0137120428971557,0.489399033296083,200,0.0122829065272546,0.0608324447491802,0.00932907641753667,0.0141598825477775,-0.00142913636990111,-0.104224905115893,0.219127193007566,0.495,0.39916056956295,-0.0902384637331335,-0.184386272946599,0.330661645875602,0.475,0.22883069441976,-0.0256996722519238,30.898112302338,35.691183069271,0.54,1.5,54,0.5,44,2,2
"ptealc","D","eps/gam=10",0.0489399033296083,0.489399033296083,200,0.0488605021003108,0.0489690077122617,0.0468746499327449,0.0510366436266709,-7.94012292975287e-05,-0.00162242309231313,0.00322271498653752,0.965,0.490519702930554,0.00112066963447069,0.00228988935046116,0.0399054041251684,0.945,0.254776305129079,0.000245938457394818,10.0545926955898,10,0.47,0,53,47,0,0,0
"ptealc","E","psi*=10%",0.0543776703662315,0.489399033296083,200,0.0545638461924675,0.0545585072501625,0.0520448217109387,0.0568947054833807,0.000186175826236024,0.00342375509988084,0.00379221126651088,0.935,0.491253770163978,0.00185473686789517,0.00378982536071555,0.0413759584890548,0.925,0.254151711904535,-0.000378654767149433,8.9319857112694,9,0.93,0,7,93,0,0,0
"pteori","A","Empirical",3.82321857674696e-07,0.440630063661829,200,5.00810515531928e-10,0.109905983137525,4.66887549291862e-178,4.24920628277982e-05,-3.81821047159164e-07,-0.998690081392213,0.324772123444168,0.31,0.484739480618298,0.0441094169564691,0.100105327788804,0.433737672467565,0.345,0.000580359378076119,-0.169568227745462,5909.11454774019,1152510.78330119,0.565,56.5,6.5,2.5,34.5,70.5,69.5
"pteori","B","5x empirical",1.91160928837348e-06,0.440630063661829,200,5.1109340839438e-10,0.125732698607524,5.77703500399795e-179,2.34091876781302e-08,-1.91109819496509e-06,-0.999732637097182,0.352122987254919,0.31,0.510800461231913,0.0701703975700838,0.159250136014182,0.437279022683808,0.32,0.00126582281875646,-0.168882764304782,63869.3131418759,230502.156660237,0.595,59.5,3.5,4.5,32.5,76,75
