param,Estimate,SE,z,Pval,type,model,species,species_name
Int,-8.0853216653725,0.866720780126749,-9.32863483922712,1.07243254905398e-20,psi,v1,otitar,
bio1,0.726749914538816,0.371847013738308,1.95443256954667,0.0506500820890616,psi,v1,otitar,
bio2,0.61780121232151,0.271276265802859,2.2773876309934,0.0227630880735578,psi,v1,otitar,
tree_cover,-6.44916275205472,0.88401031876545,-7.29534782021684,2.97888505420879e-13,psi,v1,otitar,
grass_cover,0.354698336300661,0.151050198671035,2.34821496046583,0.0188636311581258,psi,v1,otitar,
topo_elev,1.21280628170839,0.442149289368606,2.74297914950918,0.00608845513114046,psi,v1,otitar,
Int,-9.99810443653019,2.01504022242111,-4.96173938628246,6.98646955843894e-07,col,v1,otitar,
NDVI,-1.4496950970792,0.582829355220119,-2.48734056391461,0.0128702127609191,col,v1,otitar,
pr,-2.30087023553015,1.47470244348974,-1.5602267736706,0.118706300741082,col,v1,otitar,
tmmn,-4.52353703608964,1.94897548225852,-2.32098201196849,0.0202878146994134,col,v1,otitar,
tmmx,2.59188215582061,1.68409035587488,1.53903984235699,0.123794569803539,col,v1,otitar,
Int,-1.25178683931665,0.425989179684761,-2.93854139732609,0.0032976061610461,ext,v1,otitar,
Land_Cover_Type_1_Percent_Class_6,1.86445264612672,1.5367259554185,1.21326293705957,0.225029308288659,ext,v1,otitar,
Land_Cover_Type_1_Percent_Class_13,2.80124902067834,0.832505105268689,3.3648430537543,0.000765872100933004,ext,v1,otitar,
tmmx,-1.51183259239234,0.76107028413093,-1.98645594751963,0.0469827196600102,ext,v1,otitar,
Int,-1.33463417710155,0.151481158032749,-8.81056228004944,1.24519684710639e-18,det,v1,otitar,
effort,0.224840927980741,0.0594514546337879,3.78192475467132,0.000155620406909962,det,v1,otitar,
observers,0.222999456023679,0.0526629377748494,4.23446669414971,2.29094733969073e-05,det,v1,otitar,
NDVI_obs,0.427732126701369,0.11846777333229,3.61053571507269,0.000305565219919316,det,v1,otitar,
pr_obs,-0.758021877309542,0.199457829111347,-3.80041174962543,0.000144455857769189,det,v1,otitar,
topo_aspect_obs,0.203528395507691,0.0791405752931782,2.57173257527779,0.0101191022502402,det,v1,otitar,
Int,-6.61924997986976,0.889318748709058,-7.44305682240289,9.83817434905321e-14,psi,v2,otitar,
bio1,1.10587280504444,0.40960846304846,2.6998289947774,0.0069375124975362,psi,v2,otitar,
bio2,0.477129905338,0.294957558046464,1.61762223859624,0.10574403347019,psi,v2,otitar,
tree_cover,-5.32861277291981,0.903133958965638,-5.90013554470113,3.63203066318863e-09,psi,v2,otitar,
grass_cover,0.0764882150341748,0.172281654883488,0.443971908012509,0.657062894275357,psi,v2,otitar,
topo_elev,1.34717778600447,0.487883906376714,2.76126711374705,0.00575775638693261,psi,v2,otitar,
Int,-9.56081970624925,1.79911552944403,-5.31417774444079,1.0714000200732e-07,col,v2,otitar,
NDVI,-2.39470810790963,0.756345219105234,-3.16615752624523,0.00154467118414478,col,v2,otitar,
pr,-1.66423118221663,1.06538849490029,-1.56208856223137,0.118267126991668,col,v2,otitar,
tmmn,-4.54339266389143,1.84295225396049,-2.46527963712989,0.0136906358430297,col,v2,otitar,
tmmx,2.63572533325539,1.61976932761657,1.62722264727272,0.103689819472173,col,v2,otitar,
Int,69.7095682350025,182.17394743044,0.38265388228259,0.701976413066303,ext,v2,otitar,
Land_Cover_Type_1_Percent_Class_6,-0.652245172579436,2.61481518752725,-0.249442169255658,0.803018769420371,ext,v2,otitar,
Land_Cover_Type_1_Percent_Class_13,201.380972435485,502.27102668592,0.400940850130725,0.68846367324285,ext,v2,otitar,
tmmx,-2.8304756097802,0.949517895858159,-2.98096078244219,0.00287345588517509,ext,v2,otitar,
Int,-2.62863345358752,0.196204142128084,-13.3974411807857,6.25838948709212e-41,det,v2,otitar,
effort,0.294998864957191,0.059472122442137,4.96028816264642,7.03886840728775e-07,det,v2,otitar,
observers,0.239477726984473,0.053608601600819,4.46715116293603,7.92681201280608e-06,det,v2,otitar,
NDVI_obs,0.380345153544032,0.115651485575349,3.28871826982483,0.00100644712143815,det,v2,otitar,
pr_obs,-0.451837368145199,0.190338988751991,-2.37385609279419,0.0176034098208268,det,v2,otitar,
topo_aspect_obs,0.101873257849721,0.0776057551893906,1.312702358235,0.189283262665548,det,v2,otitar,
stepRep_obs,0.890464374669852,0.0888276743979563,10.0246278055247,1.18806375838948e-23,det,v2,otitar,
Int,-6.43444241422356,0.744882253286009,-8.63820071674194,5.71052265854923e-18,psi,v1,ptealc,
bio1,-0.569186422341697,0.192623968481062,-2.95490964509777,0.00312760633878974,psi,v1,ptealc,
bio2,1.20708257477257,0.261230935512315,4.62074896453319,3.82357202050652e-06,psi,v1,ptealc,
tree_cover,-4.54539446855332,0.758473020938383,-5.9928228731587,2.06229438266514e-09,psi,v1,ptealc,
grass_cover,0.483585227441652,0.143655846910344,3.36627598418224,0.000761904383522715,psi,v1,ptealc,
topo_aspect,-0.123158898474347,0.123939645163778,-0.993700589602309,0.320368655615817,psi,v1,ptealc,
Int,-6.59069373643606,0.509846917896479,-12.9268090187303,3.17734437259342e-38,col,v1,ptealc,
pr,-0.717171758703093,0.463029894671359,-1.54886707522873,0.121413677177371,col,v1,ptealc,
