year,weighted_mean,n_checklists,scope,species,species_name
2017,0.225781281696101,10063,peninsular,otitar,Otis tarda
2018,0.231283207882903,21544,peninsular,otitar,Otis tarda
2019,0.223894585095871,30732,peninsular,otitar,Otis tarda
2020,0.19801319772146,40774,peninsular,otitar,Otis tarda
2021,0.250765211831406,48397,peninsular,otitar,Otis tarda
2022,0.243359670397862,52698,peninsular,otitar,Otis tarda
2023,0.227225053271231,58937,peninsular,otitar,Otis tarda
2017,0.482444218425394,654,focal,otitar,Otis tarda
2018,0.557857422770514,1609,focal,otitar,Otis tarda
2019,0.592220229412427,2354,focal,otitar,Otis tarda
2020,0.554983422422229,1791,focal,otitar,Otis tarda
2021,0.609567457566158,3475,focal,otitar,Otis tarda
2022,0.638062261860581,4193,focal,otitar,Otis tarda
2023,0.61671323354571,4348,focal,otitar,Otis tarda
2017,0.223481847172541,12761,peninsular,ptealc,Pterocles alchata
2018,0.226051401954567,23781,peninsular,ptealc,Pterocles alchata
2019,0.216428309319086,34340,peninsular,ptealc,Pterocles alchata
2020,0.226306242507075,47738,peninsular,ptealc,Pterocles alchata
2021,0.236846084523047,54050,peninsular,ptealc,Pterocles alchata
2022,0.227005082831999,55210,peninsular,ptealc,Pterocles alchata
2023,0.221323646848026,61840,peninsular,ptealc,Pterocles alchata
2017,0.302431610885634,658,focal,ptealc,Pterocles alchata
2018,0.319198826965582,1332,focal,ptealc,Pterocles alchata
2019,0.42370098960678,1820,focal,ptealc,Pterocles alchata
2020,0.412013139262802,2131,focal,ptealc,Pterocles alchata
2021,0.417834595221501,2677,focal,ptealc,Pterocles alchata
2022,0.461383976387738,2588,focal,ptealc,Pterocles alchata
2023,0.444276274865469,2496,focal,ptealc,Pterocles alchata
2017,0.223481847172541,12761,peninsular,pteori,Pterocles orientalis
2018,0.226051401954567,23781,peninsular,pteori,Pterocles orientalis
2019,0.216428309319086,34340,peninsular,pteori,Pterocles orientalis
2020,0.226306242507075,47738,peninsular,pteori,Pterocles orientalis
2021,0.236846084523047,54050,peninsular,pteori,Pterocles orientalis
2022,0.227005082831999,55210,peninsular,pteori,Pterocles orientalis
2023,0.221323646848026,61840,peninsular,pteori,Pterocles orientalis
2017,0.493152226378679,439,focal,pteori,Pterocles orientalis
2018,0.535446214562319,1102,focal,pteori,Pterocles orientalis
2019,0.571495729118289,1707,focal,pteori,Pterocles orientalis
2020,0.564734143481769,2066,focal,pteori,Pterocles orientalis
2021,0.556086196449677,2978,focal,pteori,Pterocles orientalis
2022,0.639066641027295,2483,focal,pteori,Pterocles orientalis
2023,0.587244974508364,2648,focal,pteori,Pterocles orientalis
2017,0.225781281696101,10063,peninsular,tettet,Tetrax tetrax
2018,0.231283207882903,21544,peninsular,tettet,Tetrax tetrax
2019,0.223894585095871,30732,peninsular,tettet,Tetrax tetrax
2020,0.19801319772146,40774,peninsular,tettet,Tetrax tetrax
2021,0.250765211831406,48397,peninsular,tettet,Tetrax tetrax
2022,0.243359670397862,52698,peninsular,tettet,Tetrax tetrax
2023,0.227225053271231,58937,peninsular,tettet,Tetrax tetrax
2017,0.49895476027371,626,focal,tettet,Tetrax tetrax
2018,0.537607153829348,1505,focal,tettet,Tetrax tetrax
2019,0.587310003474244,1886,focal,tettet,Tetrax tetrax
2020,0.468939661174756,2203,focal,tettet,Tetrax tetrax
2021,0.585967997516084,3498,focal,tettet,Tetrax tetrax
2022,0.649483349427614,4073,focal,tettet,Tetrax tetrax
2023,0.607152025432185,3848,focal,tettet,Tetrax tetrax
