species,metric,model,value,species_name
otitar,gamma_mean,v1,0.00206260558274903,
otitar,gamma_mean,v2,0.00515121597626771,
otitar,epsilon_mean,v1,0.26426506973986,
otitar,epsilon_mean,v2,0.38612894431087,
ptealc,gamma_mean,v1,0.00169489951285636,
ptealc,gamma_mean,v2,0.00189129198334871,
ptealc,epsilon_mean,v1,0.485053435797296,
ptealc,epsilon_mean,v2,0.454493387896302,
pteori,gamma_mean,v1,0.0023076978691048,
pteori,gamma_mean,v2,0.00317038070459085,
pteori,epsilon_mean,v1,0.43100442229987,
pteori,epsilon_mean,v2,0.431531589853595,
tettet,gamma_mean,v1,0.00107253565920424,
tettet,gamma_mean,v2,0.00111026598986714,
tettet,epsilon_mean,v1,0.150219319546639,
tettet,epsilon_mean,v2,0.0829447364672414,
